date	revenue
01.07.2015	2091800.00
02.07.2015	1872450.00
03.07.2015	2692600.00
04.07.2015	326900.00
06.07.2015	332500.00
07.07.2015	1132850.00
08.07.2015	1584250.00
09.07.2015	990100.00
10.07.2015	2642166.00
11.07.2015	312700.00
13.07.2015	1530750.00
14.07.2015	1821554.00
15.07.2015	832400.00
16.07.2015	2343125.00
17.07.2015	2381150.00
18.07.2015	228250.00
20.07.2015	1477900.00
21.07.2015	516150.00
22.07.2015	727150.00
23.07.2015	647884.00
24.07.2015	2881350.00
25.07.2015	129350.00
27.07.2015	1354900.00
28.07.2015	1522090.00
29.07.2015	1063311.20
30.07.2015	1297300.00
31.07.2015	2143250.00
